Address,Year Built,Community,Management Company,Fee includes,Amenities,Condo Fee,Beds,Baths,Price,Link
"121 Buell St 61,Ottawa, ON K1Z 7E7",1974,Westboro/hampton Park,EOPMG,"Building Insurance, Caretaker, Management Fee, Reserve Fund, Allocation, Snow Removal, Water/Sewer",,$776.96,3,2.5,"$630,000",https://www.redfin.com/on/ottawa/121-Buell-St-K1Z-7E8/unit-61/home/148946136
"45 Holland Ave 501,Ottawa, ON K1Y 4S3",1988,Ottawa West,Capital,"Air Conditioning, Building Insurance, Heat, Hydro, Management, Fee, Recreation Facilities, Water/Sewer",Storage Lockers,$625,1,1,"$295,000",https://www.redfin.com/on/ottawa/45-Holland-Ave-K1Y-4S3/unit-501/home/148948324
"215 Parkdale Ave 804,Ottawa, ON K1Y 4T8",1991,Mechanicsville,Sentinel Management,"Building Insurance, Caretaker, Management Fee, Recreation, Facilities, Water/Sewer","Balcony, Elevator, Indoor Pool, Party Room, Sauna",$450.66,1,1,"$390,000",https://www.redfin.com/on/ottawa/215-Parkdale-Ave-K1Y-4T8/unit-804/home/148955046
"215 Parkdale Ave 809,Ottawa, ON K1Y 4T8",1990,Mechanicsville,Sentinel,"Caretaker, Common Area Hydro, Insurance, Management Fee,, Recreation Facilities, Snow Removal, Storage, Water/Sewer","AC, Balcony, Elevator, Indoor Pool, Party Room, Sauna, Storage, Lockers",$623,2,2,"$549,000",https://www.redfin.com/on/ottawa/215-Parkdale-Ave-K1Y-4T8/unit-809/home/148955101
"110 Forward Ave 907,Ottawa, ON K1Y 4S9",1988,Tunney's Pasture,Astro Property Management,"Building Insurance, Caretaker, General Maintenance and Repair,, Management Fee, Water/Sewer","Exercise Centre, Laundry, Rooftop Terrace",$497.62,1,1,"$326,150",https://www.redfin.com/on/ottawa/110-Forward-Ave-K1Y-4S9/unit-907/home/148955723
"101 Richmond Rd 518,Ottawa, ON K1Z 0A6",2012,Westboro,Apollo Property Management,"Building Insurance, Caretaker, Heat, Management Fee, Recreation, Facilities, Water/Sewer","Balcony, Elevator, Exercise Centre, Party Room, Rooftop Terrace,, Theatre/Screening Room, Whirlpool",$535.85,1,1,"$473,500",https://www.redfin.com/on/ottawa/101-Richmond-Rd-K1Z-0A6/unit-518/home/148957409
"50 Emmerson Ave 503,Ottawa, ON K1Y 4P7",1985,Tunney's Pasture,iCondo Property Management,"Building Insurance, Management Fee, Recreation Facilities,, Water/Sewer",,$641,2,2,"$535,000",https://www.redfin.com/on/ottawa/50-Emmerson-Ave-K1Y-4P7/unit-503/home/148959793
"1160 Shillington Ave 7,Ottawa, ON K1Z 7Z4",1981,Carlington,Ludgate Management Services,"Building Insurance, General Maintenance and Repair, Landscape,, Management Fee, Reserve Fund Allocation, Snow Removal, Water/Sewer",,$449.53,3,1.5,"$640,000",https://www.redfin.com/on/ottawa/1160-Shillington-Ave-K1Z-7Z4/unit-7/home/148963031
"38 Metropole Pvt 606,Ottawa, ON K1Z 1E9",2004,Westboro,Regional Group,"Air Conditioning, Amenities, Building Insurance, Caretaker,, Heat, Hydro, Management Fee, Reserve Fund Allocation, Water/Sewer","Concierge Service, Exercise Centre, Guest Suite, Indoor Pool, Party, Room, Sauna, Security","$1,400",2,2,"$852,000",https://www.redfin.com/on/ottawa/38-Metropole-Pvt-K1Z-1E9/unit-606/home/148969985
"64 Metropole Pvt,Ottawa, ON K1Z 1G1",2005,Westboro,Condominium Management Group,"Building Insurance, Caretaker, Management Fee, Reserve Fund, Allocation, Snow Removal",Balcony,$369,3,2.5,"$738,000",https://www.redfin.com/on/ottawa/64-Metropole-Pvt-K1Z-1G1/home/148982520
"52 Metropole Pvt,Ottawa, ON K1Z 1G1",2004,Westboro,CMG,"Building Insurance, Caretaker, Common Area Hydro, Management, Fee, Reserve Fund Allocation",,$372,3,2.5,"$929,100",https://www.redfin.com/on/ottawa/52-Metropole-Pvt-K1Z-1E8/home/148983079
"314 Central Park Dr 210,Ottawa, ON K2C 0R2",2008,Central Park,Apollo,"Building Insurance, Caretaker, Heat, Management Fee, Recreation, Facilities, Water/Sewer","Elevator, Exercise Centre, Party Room",$385.11,2,2,"$420,000",https://www.redfin.com/on/ottawa/314-Central-Park-Dr-K2C-4G3/unit-210/home/148997440
"314 Central Park Dr 1009,Ottawa, ON K2C 0R2",2007,Central Park,Sentinel Property Management,"Amenities, Building Insurance, Caretaker, Heat, Management Fee,, Water/Sewer","Balcony, Elevator, Exercise Centre, Party Room",$373.46,1,1,"$399,000",https://www.redfin.com/on/ottawa/314-Central-Park-Dr-K2C-4G3/unit-1009/home/148997714
"310 Central Park Dr Unit 4L,Ottawa, ON K2C 4G4",2003,Central Park,Apollo Property Management,"Amenities, Building Insurance, Caretaker, Heat, Insurance,, Management Fee, Snow Removal, Water/Sewer","Balcony, Elevator, Exercise Centre, Multi Use Room",$396.87,1,1,"$320,000",https://www.redfin.com/on/ottawa/310-Central-Park-Dr-K2C-4G4/unit-4L/home/149006353
"1380 Prince Of Wales Dr 1607,Ottawa, ON K2C 3N5",1975,Carleton Square/hogs Back,CMG,"Building Insurance, General Maintenance and Repair, Management, Fee, Water/Sewer","Elevator, Indoor Pool, Party Room, Sauna",$555,2,1,"$321,000",https://www.redfin.com/on/ottawa/1380-Prince-of-Wales-Dr-K2C-3N5/unit-1607/home/149009863
"1380 Prince Of Wales Dr 701,Ottawa, ON K2C 3N5",1975,Carleton Square,Condo Management Group,"Building Insurance, Caretaker, Management Fee, Recreation, Facilities, Water/Sewer","Balcony, Elevator, Indoor Pool, Laundry, Sauna",$545,2,1,"$260,000",https://www.redfin.com/on/ottawa/1380-Prince-of-Wales-Dr-K2C-3N5/unit-701/home/149010428
"1380 Prince Of Wales Dr 1903,Ottawa, ON K2C 3N5",1975,Carleton Heights,Axia,"Building Insurance, Caretaker, Recreation Facilities, Reserve, Fund Allocation, Water/Sewer",,$658,3,2,"$270,000",https://www.redfin.com/on/ottawa/1380-Prince-of-Wales-Dr-K2C-3N5/unit-1903/home/149010450
"1380 Prince Of Wales Dr 702,Ottawa, ON K2C 3N5",1975,Carleton Square/hogs Back,CMG,"Amenities, Building Insurance, Caretaker, Recreation Facilities,, Water/Sewer","Elevator, Indoor Pool, Party Room, Sauna",$555,2,1,"$330,000",https://www.redfin.com/on/ottawa/1380-Prince-of-Wales-Dr-K2C-3N5/unit-702/home/149010696
"920 Dynes Rd 49,Ottawa, ON K2C 0G8",1974,Carleton Square,PMA,"Building Insurance, Caretaker, Management Fee, Water/Sewer","Indoor Pool, Sauna",$652,3 + 1,1.5,"$410,000",https://www.redfin.com/on/ottawa/920-Dynes-Rd-K2C-0G8/unit-49/home/149010858
"920 Dynes Rd 11,Ottawa, ON K2C 0G8",1974,Carleton Square,PMA Management,"Building Insurance, Caretaker, Management Fee, Other (See, Remarks), Recreation Facilities, Snow Removal, Water/Sewer","Exercise Centre, Indoor Pool",$652.50,3 + 1,2.5,"$420,000",https://www.redfin.com/on/ottawa/920-Dynes-Rd-K2C-0G8/unit-11/home/149011009
"900 Dynes Rd 407,Ottawa, ON K2C 3L6",1975,Carleton Square,Condo Mgmt Group /613-237-9519,"Amenities, Building Insurance, Caretaker, Heat, Hydro,, Management Fee, Recreation Facilities, Water/Sewer","Balcony, Elevator, Indoor Pool, Laundry, Party Room, Sauna,, Workshop",$641,2,1,"$299,000",https://www.redfin.com/on/ottawa/900-Dynes-Rd-K2C-0J5/unit-407/home/149011281
"900 Dynes Rd 2306,Ottawa, ON K2C 3L6",1975,Carleton Square,CMG,"Caretaker, General Maintenance and Repair, Heat, Hydro,, Insurance, Recreation Facilities, Reserve Fund Allocation, Water/Sewer","Exercise Centre, Guest Suite, Laundry, Party Room, Pool, Recreation, Centre",$641,2,1,"$349,000",https://www.redfin.com/on/ottawa/900-Dynes-Rd-K2C-0J5/unit-2306/home/149011454
"1380 Prince Of Wales Dr 106,Ottawa, ON K2C 3N5",1975,Carleton Square,Axia,"Building Insurance, Caretaker, Management Fee, Recreation, Facilities, Water/Sewer",,$658,3,1,"$333,000",https://www.redfin.com/on/ottawa/1380-Prince-of-Wales-Dr-K2C-3N5/unit-106/home/149013585
"1505 Baseline Rd 314,Ottawa, ON K2C 3L4",1975,Copeland Park,Condo Management Group,"Building Insurance, Hydro, Janitorial In Suite, Management Fee,, Recreation Facilities, Reserve Fund Allocation, Storage, Water/Sewer","Balcony, Exercise Centre, Indoor Pool, Outdoor Pool, Party Room,, Sauna, Storage Lockers",$636,2,1,"$352,000",https://www.redfin.com/on/ottawa/1505-Baseline-Rd-K2C-3L4/unit-314/home/149022534
"1505 Baseline Rd 212,Ottawa, ON K2C 3L4",1974,Copeland Park,Condo Management Group,"Caretaker, Garbage Removal, Heat, Hydro, Reserve Fund, Allocation, Snow Removal, Storage, Water/Sewer",,$636.23,2,,"$310,000",https://www.redfin.com/on/ottawa/1505-Baseline-Rd-K2C-3L4/unit-212/home/149023961
"1465 Baseline Rd 1216,Ottawa, ON K2C 3L9",1974,Copeland Park,CMG Condominium Management,"Amenities, Caretaker, Heat, Hydro, Landscape, Reserve Fund, Allocation, Storage","Balcony, Indoor Pool, Laundry, Outdoor Pool, Sauna, Storage, Lockers, Workshop",$682.49,2,1,"$298,000",https://www.redfin.com/on/ottawa/1465-Baseline-Rd-K2C-3L9/unit-1216/home/149034325
"1422 Wellington St W 202,Ottawa, ON K1Y 0X7",2008,Wellington West,Condo Management Group,"Air Conditioning, Building Insurance, Caretaker, Common Area, Hydro, Heat, Management Fee, Reserve Fund Allocation, Storage, Water/Sewer","AC, Balcony, Elevator",$440.37,1,1,"$545,000",https://www.redfin.com/on/ottawa/1422-Wellington-St-W-K1Y-2X2/unit-202/home/149034570
"1465 Baseline Rd 314,Ottawa, ON K2C 3L9",1975,Copeland Park,Carleton Condominium Corp,"Heat, Hydro, Insurance, Management Fee, Recreation Facilities,, Water/Sewer",,$682.49,2,1,"$385,800",https://www.redfin.com/on/ottawa/1465-Baseline-Rd-K2C-3L9/unit-314/home/149035546
"1485 Baseline Rd 308,Ottawa, ON K2C 3L8",1975,Copeland,Condo Management Group,"Caretaker, General Maintenance and Repair, Heat, Hydro, Reserve, Fund Allocation, Snow Removal, Water/Sewer","Exercise Centre, Indoor Pool, Outdoor Pool, Party Room, Pool,, Sauna, Workshop",$691,2,1,"$350,000",https://www.redfin.com/on/ottawa/1485-Baseline-Rd-K2C-3L8/unit-308/home/149036623
"1485 Baseline Rd 713,Ottawa, ON K2C 3L8",1975,Copeland Park,CMG,"Amenities, Building Insurance, Caretaker, Heat, Hydro,, Management Fee, Recreation Facilities, Water/Sewer","Amenities, Building Insurance, Caretaker, Heat, Hydro,, Management Fee, Recreation Facilities, Water/Sewer",$678.52,2,1,"$285,000",https://www.redfin.com/on/ottawa/1485-Baseline-Rd-K2C-3L8/unit-713/home/149037233
"900 Dynes Rd 905,Ottawa, ON K2C 3L6",1975,Hog's Back,Condo Management Group,"Amenities, Building Insurance, Caretaker, General Maintenance, and Repair, Heat, Hydro, Snow Removal, Water/Sewer","Indoor Pool, Laundry, Party Room, Pool, Recreation Centre, Sauna,, Workshop",$641,2,1,"$260,000",https://www.redfin.com/on/ottawa/900-Dynes-Rd-K2C-0J5/unit-905/home/149038500
"900 Dynes Rd 907,Ottawa, ON K2C 3L6",1975,Carleton Square,Condo Mgnt Group,"Building Insurance, Caretaker, Common Area Hydro, Heat, Hydro,, Management Fee, Recreation Facilities, Water/Sewer","Balcony, Elevator, Indoor Pool",$743,3,2,"$350,000",https://www.redfin.com/on/ottawa/900-Dynes-Rd-K2C-0J5/unit-907/home/149038734
"327 Breezehill Ave 605,Ottawa, ON K1Y 1R6",2010,Little Italy,CMG,"Amenities, Building Insurance, Caretaker, Heat, Management Fee,, Water/Sewer","Balcony, Elevator, Exercise Centre, Party Room, Storage Lockers",$501.49,1,1,"$505,000",https://www.redfin.com/on/ottawa/327-Breezehill-Ave-S-K1Y-1R6/unit-605/home/149047076
"448 Kintyre Pvt,Ottawa, ON K2C 3M9",1974,Carleton Square,PMA Realty Consulting Limited,"Building Insurance, Caretaker, Management Fee, Recreation, Facilities, Reserve Fund Allocation, Snow Removal, Water/Sewer",,$460,4 + 1,2,"$475,000",https://www.redfin.com/on/ottawa/448-Kintyre-Pvt-K2C-3M9/home/149047452
"131 Holland Ave 409,Ottawa, ON K1Y 3A2",2012,Wellington Village - Westboro,Eastern Ontario Property Mgt,"Amenities, Building Insurance, Heat, Management Fee, Recreation, Facilities, Water/Sewer","Elevator, Exercise Centre, Guest Suite, Party Room, Rooftop, Terrace, Storage Lockers",$708.99,2,2,"$585,000",https://www.redfin.com/on/ottawa/131-Holland-Ave-K1Y-3A2/unit-409/home/149047505
"131 Holland Ave 205,Ottawa, ON K1Y 3A2",2012,Wellington Village,Capital Integral Team,"Amenities, Building Insurance, Caretaker, Common Area Hydro,, General Maintenance and Repair, Heat, Recreation Facilities, Snow Removal,, Storage, Water/Sewer","Balcony, Exercise Centre, Guest Suite, Party Room, Rooftop Terrace,, Storage Lockers",$515,1,1,"$468,000",https://www.redfin.com/on/ottawa/131-Holland-Ave-K1Y-3A2/unit-205/home/149047526
"405 Kintyre Pvt,Ottawa, ON K2C 3M9",1974,Carleton Square,PMA Realty,"Building Insurance, Caretaker, Management Fee",Outdoor Pool,$478,3,2,"$590,000",https://www.redfin.com/on/ottawa/405-Kintyre-Pvt-K2C-3M6/home/149047649
"330 Loretta Ave S 705,Ottawa, ON K1Y 1L3",2010,Little Italy,CMG,"Amenities, Building Insurance, Caretaker, General Maintenance, and Repair, Heat, Management Fee, Reserve Fund Allocation, Water/Sewer","Elevator, Exercise Centre, Storage Lockers",$452.60,1,1,"$510,000",https://www.redfin.com/on/ottawa/330-Loretta-Ave-S-K1Y-1L3/unit-705/home/149106050
"330 Loretta Ave 910,Ottawa, ON K1Y 1L3",2010,West Centre Town,CMG Management Group,"Building Insurance, Caretaker, General Maintenance and Repair,, Water/Sewer","Balcony, Elevator, Exercise Centre, Party Room",$379,1,1,"$499,900",https://www.redfin.com/on/ottawa/330-Loretta-Ave-S-K1Y-1L3/unit-910/home/149106400
"808 Bronson Ave 315,Ottawa, ON K1S 5A4",2012,Dows Lake,Capital Integral,"Amenities, Building Insurance, Caretaker, General Maintenance, and Repair, Heat, Management Fee, Recreation Facilities, Water/Sewer","Elevator, Exercise Centre, Guest Suite, Storage Lockers",$551,2,2,"$515,000",https://www.redfin.com/on/ottawa/808-Bronson-Ave-K1S-5A4/unit-315/home/149107590
"1422 Wellington St W 303,Ottawa, ON K1Y 0X7",2008,Wellington Village,Condo Management Group,"Building Insurance, Caretaker, Heat, Management Fee, Water/Sewer",,$601.36,2,2,"$652,500",https://www.redfin.com/on/ottawa/1422-Wellington-St-W-K1Y-2X2/unit-303/home/149109392
"263 Botanica Pvt 83,Ottawa, ON K1Y 4P9",1985,Civic Hospital,Condo Mgmnt Group,"Amenities, Building Insurance, Caretaker, Management Fee,, Recreation Facilities, Snow Removal, Water/Sewer","Elevator, Exercise Centre, Indoor Pool, Multi Use Room, Recreation, Centre, Storage Lockers",$877.11,2,2,"$525,000",https://www.redfin.com/on/ottawa/263-Botanica-Pvt-K1Y-4P8/unit-83/home/149117867
"1422 Wellington St W Ph 4,Ottawa, ON K1Y 0X7",2008,Wellington West,Condominium Management Group,"Building Insurance, Heat, Management Fee, Water/Sewer",Elevator,$781.37,2,2,"$979,000",https://www.redfin.com/on/ottawa/1422-Wellington-St-W-K1Y-2X2/unit-4/home/149118922
"1025 Richmond Rd 1402,Ottawa, ON K2B 8G8",1979,Woodroffe,Apollo Management,"Amenities, Building Insurance, General Maintenance and Repair,, Heat, Hydro, Management Fee, Recreation Facilities, Storage, Water/Sewer","Balcony, Elevator, Exercise Centre, Indoor Pool, Party Room,, Storage Lockers, Tennis Court(S)",$649.15,2,2,"$430,500",https://www.redfin.com/on/ottawa/1025-Richmond-Rd-K2B-8G8/unit-1402/home/149128426
"1025 Richmond Rd 703,Ottawa, ON K2B 8G8",1978,Woodroffe,Capital Integra,"Air Conditioning, Amenities, Building Insurance, Caretaker,, Common Area Hydro, Garbage Removal, General Maintenance and Repair, Heat,, Hydro, Insurance, Recreation Facilities, Reserve Fund Allocation, Snow, Removal, Storage, Water/Sewer","Balcony, Elevator, Indoor Pool, Party Room, Storage Lockers, Tennis, Court(S), Water View",$660.57,2,1.5,"$440,000",https://www.redfin.com/on/ottawa/1025-Richmond-Rd-K2B-8G8/unit-703/home/149129368
"1227 Wellington St W 801,Ottawa, ON K1Y 0G7",2007,Ottawa West,Apollo Property Management,"Air Conditioning, Heat, Management Fee, Reserve Fund Allocation,, Water/Sewer",,"$1,352.72",3,2,"$1,450,000",https://www.redfin.com/on/ottawa/1227-Wellington-St-W-K1Y-0G7/unit-801/home/149133882
"320 Parkdale Ave 406,Ottawa, ON K1Y 4X9",2005,Hintonburg,Regional Group,"Air Conditioning, Common Area Hydro, Garbage Removal, General, Maintenance and Repair, Heat, Management Fee, Recreation Facilities, Reserve, Fund Allocation, Water/Sewer","Exercise Centre, Party Room, Rooftop Terrace, Sauna",$907.26,2,2,"$749,500",https://www.redfin.com/on/ottawa/320-Parkdale-Ave-K1Y-4X9/unit-406/home/149134498
"110 Forward Ave 803,Ottawa, ON K1Y 4S9",1990,Mechanicsville,Astro Property Management,"Air Conditioning, Amenities, Building Insurance, Caretaker,, Common Area Hydro, General Maintenance and Repair, Management Fee, Reserve, Fund Allocation, Storage, Water/Sewer","Elevator, Exercise Centre, Laundry, Rooftop Terrace",$497.62,1,1,"$289,900",https://www.redfin.com/on/ottawa/110-Forward-Ave-K1Y-4S9/unit-803/home/149136279
"110 Forward Ave 203,Ottawa, ON K1Y 4S9",1990,Mechanicsville,Astro Property Management,"Air Conditioning, Amenities, Caretaker, General Maintenance and, Repair, Insurance, Management Fee, Storage, Water/Sewer","Elevator, Exercise Centre, Laundry, Rooftop Terrace, Storage, Lockers",$446.41,1,1,"$260,000",https://www.redfin.com/on/ottawa/110-Forward-Ave-K1Y-4S9/unit-203/home/149136326
"215 Parkdale Ave 1206,Ottawa, ON K1Y 4T8",1990,Parkdale Market,Sentinel,"Amenities, Building Insurance, Caretaker, Management Fee,, Recreation Facilities, Water/Sewer","Balcony, Elevator, Indoor Pool, Party Room, Sauna, Storage Lockers",$450,1,1,"$420,000",https://www.redfin.com/on/ottawa/215-Parkdale-Ave-K1Y-4T8/unit-1206/home/149140877
"215 Parkdale Ave 805,Ottawa, ON K1Y 4T8",1990,Hintonburg,Sentinel Property Management,"Building Insurance, Caretaker, Management Fee, Recreation, Facilities, Snow Removal, Water/Sewer","Balcony, Elevator, Indoor Pool, Party Room, Sauna, Storage Lockers",$450.66,1,1,"$401,000",https://www.redfin.com/on/ottawa/215-Parkdale-Ave-K1Y-4T8/unit-805/home/149141201
"215 Parkdale Ave 702,Ottawa, ON K1Y 4T8",1990,Tunneys Pasture,Sentinel Management,"Building Insurance, Caretaker, Management Fee, Recreation, Facilities, Water/Sewer","Elevator, Indoor Pool, Sauna, Storage Lockers",$623.22,2,2,"$530,000",https://www.redfin.com/on/ottawa/215-Parkdale-Ave-K1Y-4T8/unit-702/home/149141581
"110 Forward Ave 501,Ottawa, ON K1Y 4S9",1988,Mechanicsville,Astro Property Management,"Building Insurance, Caretaker, General Maintenance and Repair,, Management Fee, Water/Sewer","Elevator, Exercise Centre, Laundry, Patio, Rooftop Terrace, Storage, Lockers",$528,2,1,"$382,000",https://www.redfin.com/on/ottawa/110-Forward-Ave-K1Y-4S9/unit-501/home/149141639
"110 Forward Ave 1110,Ottawa, ON K1Y 4S9",1990,Tunney's Pasture,Astro Property Management,"Building Insurance, Caretaker, General Maintenance and Repair,, Management Fee, Water/Sewer","Elevator, Exercise Centre, Laundry, Patio, Rooftop Terrace, Storage, Lockers",$527.52,2,1,"$370,110",https://www.redfin.com/on/ottawa/110-Forward-Ave-K1Y-4S9/unit-1110/home/149141727
"99 Holland Ave 603,Ottawa, ON K1Y 0Y1",1988,Wellington Village,CMG,"Building Insurance, Garbage Removal, General Maintenance and, Repair, Management Fee, Reserve Fund Allocation, Water/Sewer","Balcony, Elevator, Storage Lockers",$705.21,2,2,"$460,000",https://www.redfin.com/on/ottawa/99-Holland-Ave-K1Y-0Y1/unit-603/home/149143032
"35 Holland St 202,Ottawa, ON K1Y 4S2",,Ottawa West,CI Property Management,"Air Conditioning, Building Insurance, Heat, Hydro, Landscape,, Management Fee, Reserve Fund Allocation, Snow Removal, Water/Sewer","Elevator, Patio, Storage Lockers",$771,2,2,"$392,500",https://www.redfin.com/on/ottawa/35-Holland-Ave-K1Y-4S2/unit-202/home/149144518
"35 Holland Ave 908,Ottawa, ON K1Y 4S2",1988,Holland Cross,Capital Integral Property Mana,"Air Conditioning, Amenities, Building Insurance, Caretaker,, Common Area Hydro, Garbage Removal, General Maintenance and Repair, Management, Fee, Recreation Facilities, Storage, Water/Sewer","AC, Balcony, Elevator, Storage Lockers",$433.87,1,1,"$297,000",https://www.redfin.com/on/ottawa/35-Holland-Ave-K1Y-4S2/unit-908/home/149144581
"50 Emmerson Ave 303,Ottawa, ON K1Y 4P7",1985,Mechanicsville,iCondo Prop Mgmt - B Ravanelli,"Building Insurance, Caretaker, Garbage Removal, Management Fee,, Recreation Facilities, Reserve Fund Allocation, Storage, Water/Sewer","Balcony, Elevator, Exercise Centre, Other (See Remarks), Storage, Lockers",$625,2,2,"$500,000",https://www.redfin.com/on/ottawa/50-Emmerson-Ave-K1Y-4P7/unit-303/home/149145098
"191 Parkdale Ave 502,Ottawa, ON K1Y 1E8",1985,Mechanicsville,Condo Management Group,"Building Insurance, General Maintenance and Repair, Management, Fee, Reserve Fund Allocation, Water/Sewer","Balcony, Laundry",$605,2,1,"$377,000",https://www.redfin.com/on/ottawa/191-Parkdale-Ave-K1Y-1E8/unit-502/home/149145525
"45 Holland Ave 207,Ottawa, ON K1Y 4S3",1989,Ottawa West,Capital,"Air Conditioning, Building Insurance, Caretaker, Heat, Hydro,, Reserve Fund Allocation, Water/Sewer","Balcony, Security",$578,1,1,"$350,000",https://www.redfin.com/on/ottawa/45-Holland-Ave-K1Y-4S3/unit-207/home/149149101
"45 Holland Ave 306,Ottawa, ON K1Y 4S3",1989,Wellington Village/westboro,Capital Integral Property Man.,"Air Conditioning, Building Insurance, Caretaker, Common Area, Hydro, Heat, Hydro, Management Fee, Water/Sewer","AC, Balcony, Elevator, Security, Storage Lockers",$435,1,1,"$325,000",https://www.redfin.com/on/ottawa/45-Holland-Ave-K1Y-4S3/unit-306/home/149149131
"45 Holland Ave 309,Ottawa, ON K1Y 4S3",1988,Tunney's Pasture,Capital Integral Team,"General Maintenance and Repair, Heat, Hydro, Insurance,, Water/Sewer","AC, Balcony, Elevator, Storage Lockers",$686,1,1,"$375,160",https://www.redfin.com/on/ottawa/45-Holland-Ave-K1Y-4S3/unit-309/home/149149292
"45 Holland Ave 518,Ottawa, ON K1Y 4S3",1989,Holland Cross/tunney's Pasture,Axia,"Building Insurance, Caretaker, Heat, Hydro, Management Fee,, Water/Sewer","Balcony, Elevator, Security, Storage Lockers",$435,1,1,"$290,000",https://www.redfin.com/on/ottawa/45-Holland-Ave-K1Y-4S3/unit-518/home/149149894
"45 Holland Ave 906,Ottawa, ON K1Y 4S3",1988,Ottawa West,Capital Integral PM,"Air Conditioning, Amenities, Building Insurance, Caretaker,, Common Area Hydro, Heat, Hydro, Landscape, Management Fee, Snow Removal,, Storage, Water/Sewer","Air Conditioning, Amenities, Building Insurance, Caretaker,, Common Area Hydro, Heat, Hydro, Landscape, Management Fee, Snow Removal,, Storage, Water/Sewer",$435,1,1,"$331,000",https://www.redfin.com/on/ottawa/45-Holland-Ave-K1Y-4S3/unit-906/home/149150310
"808 Bronson Ave Ph 13,Ottawa, ON K1S 5A4",2012,Dow's Lake,Capital Integral,"Amenities, Building Insurance, Caretaker, Common Area Hydro,, Garbage Removal, General Maintenance and Repair, Management Fee, Snow Removal,, Water/Sewer","AC, Balcony, Elevator, Exercise Centre, Guest Suite",$477.05,1,1,"$470,000",https://www.redfin.com/on/ottawa/808-Bronson-Ave-K1S-5A4/unit-13/home/149160522
"290 Powell Ave 504,Ottawa, ON K1S 5T4",2005,Glebe Annex,Apollo,"Air Conditioning, Amenities, Building Insurance, Caretaker,, Common Area Hydro, Heat, Landscape, Management Fee, Snow Removal, Water/Sewer","AC, Balcony, Elevator, Exercise Centre, Intercom, Rooftop Terrace,, Storage Lockers",$809,2,2,"$629,000",https://www.redfin.com/on/ottawa/290-Powell-Ave-K1S-5T4/unit-504/home/149161732
"300 Powell Ave 309,Ottawa, ON K1S 5T3",2004,Glebe Annex,A.H.FITZSIMMONS & COMPANY,"Air Conditioning, Building Insurance, Caretaker, General, Maintenance and Repair, Heat, Landscape, Management Fee, Snow Removal,, Water/Sewer","Balcony, Elevator",$715,2,2,"$700,000",https://www.redfin.com/on/ottawa/300-Powell-Ave-K1S-5T3/unit-309/home/149161994
"300 Powell Ave 207,Ottawa, ON K1S 5T3",2004,Glebe Annex,A.H.FITZSIMMONS & COMPANY,"Air Conditioning, Building Insurance, General Maintenance and, Repair, Heat, Insurance, Landscape, Management Fee, Snow Removal, Water/Sewer","Balcony, Elevator",$658,2,1,"$577,000",https://www.redfin.com/on/ottawa/300-Powell-Ave-K1S-5T3/unit-207/home/149162514
"95 Beech St 109,Ottawa, ON K1S 3J7",2001,Little Italy,DES Services Inc.,"Building Insurance, Management Fee, Water/Sewer","Balcony, Elevator, Laundry, Storage Lockers",$830.40,2,1,"$627,500",https://www.redfin.com/on/ottawa/95-Beech-St-K1S-3J7/unit-109/home/149177708
"300 Powell Ave 310,Ottawa, ON K1S 5T3",2004,Glebe Annex,A.H. Fitzsimmons & Co. Ltd.,"Building Insurance, General Maintenance and Repair, Heat,, Landscape, Other (See Remarks), Snow Removal, Water/Sewer","Elevator, Storage Lockers",$656.19,2,1,"$520,000",https://www.redfin.com/on/ottawa/300-Powell-Ave-K1S-5T3/unit-310/home/149183102
"7 Kippewa Dr 303,Ottawa, ON K1S 3G3",1986,Dow's Lake,CMG,"Building Insurance, Garbage Removal, General Maintenance and, Repair, Management Fee, Reserve Fund Allocation, Snow Removal, Water/Sewer",,$763.52,2,2,"$520,000",https://www.redfin.com/on/ottawa/7-Kippewa-Dr-K1S-4G4/unit-303/home/149187011
"499 Sunnyside Ave 101,Ottawa, ON K1S 0S8",1991,Old Ottawa South,CMG,"Building Insurance, Caretaker, Management Fee, Snow Removal",Fire Place,$755.37,2,2,"$630,000",https://www.redfin.com/on/ottawa/499-Sunnyside-Ave-K1S-0S8/unit-101/home/149200130
"345 Bronson Ave Unit U2,Ottawa, ON K1R 6J2",2009,Centre Town,self managed,"Garbage Removal, Management Fee, Snow Removal, Water/Sewer",,$430,2,1.5,"$500,000",https://www.redfin.com/on/ottawa/345-Bronson-Ave-K1R-6J2/unit-U2/home/149226489
"91 Beachview Pvt,Ottawa, ON K1V 1M7",1974,Mooney's Bay,CMG,"Building Insurance, Caretaker, Landscape, Recreation Facilities,, Snow Removal",Outdoor Pool,$320,3,1.5,"$653,000",https://www.redfin.com/on/ottawa/91-Beachview-Pvt-K1V-1M7/home/149321828
"2951 Riverside Dr 415,Ottawa, ON K1V 8W6",1973,Mooney's Bay,Condo Mgmt. Group,"Air Conditioning, Building Insurance, Caretaker, Heat, Hydro,, Insurance, Recreation Facilities, Reserve Fund Allocation, Water/Sewer","AC, Balcony, Elevator, Guest Suite, Outdoor Pool, Party Room,, Tennis Court(S)",$766.26,1,1,"$235,000",https://www.redfin.com/on/ottawa/2951-Riverside-Dr-K1V-8W6/unit-415/home/149336073
